marca,modelo,año,kilometraje,version,transmision,precio (MXN),ubicacion
Chevrolet,Trax,2014,116500,1.8 C LTZ AT,Automático,174999,Monterrey
Bmw,Serie 3,2020,53093,2.0 320IA EXECUTIVE AUTO,Automático,439999,Monterrey
Honda,HR-V,2018,71572,1.8 EPIC CVT,Automático,282999,Guadalajara
Toyota,Yaris,2018,55070,1.5 R XLE AT,Automático,237999,Ciudad de México
Ford,Figo,2019,65850,1.5 TITANIUM AUTO,Automático,173999,Ciudad de México
Mg,MG5,2024,1400,1.5 EXCITE CVT,Automático,270999,Guadalajara
Mazda,Mazda 3,2016,112178,2.0 SEDAN I TOURING TA,Automático,164999,Ciudad de México
Mazda,CX-3,2019,103000,2.0 I GRAND TOURING 2WD AT,Automático,249999,Ciudad de México
Baic,X65,2018,58000,2.0 FASHION AUTO,Automático,223999,Ciudad de México
Mazda,CX-5,2018,35576,2.0 I SPORT AT 2WD,Automático,319999,Ciudad de México
Mazda,Mazda 2,2017,57606,1.5 I TOURING TA,Automático,184999,Ciudad de México
Audi,A1,2018,55352,1.4 SB COOL DCT,Automático,244999,Monterrey
Mazda,CX-5,2019,45831,2.5 S GRAND TOURING AUTO 2WD,Automático,369999,Ciudad de México
Hyundai,Tucson,2018,72404,2.0 LIMITED AUTO,Automático,275999,Guadalajara
Chevrolet,Cavalier,2020,51668,1.5 PREMIER C AUTO,Automático,213999,Ciudad de México
Seat,Ibiza,2018,63844,1.6 REFERENCE AUTO,Automático,192999,Monterrey
Suzuki,Vitara,2018,71244,1.6 GLS,Manual,208999,Ciudad de México
Volkswagen,Jetta,2017,113560,2.5 TRENDLINE TIP.,Automático,198999,Puebla
Bmw,X5,2016,96000,4.4 XDRIVE50IA EXCELLENCE AT 4WD,Automático,405999,Ciudad de México
Chevrolet,Equinox,2016,73368,2.4 LS D AUTO,Automático,186999,Ciudad de México
Ford,Territory,2023,31000,1.8 ECOBOOST TREND AUTO,Automático,425999,Ciudad de México
Toyota,RAV4,2018,77510,2.5 LE AT,Automático,288999,Ciudad de México
Mitsubishi,Mirage,2017,76000,1.2 GLX MT,Manual,135999,Ciudad de México
Kia,Rio,2022,13470,1.6 LX,Manual,245999,Guadalajara
Kia,Rio,2019,75000,1.6 L,Manual,179999,Ciudad de México
Mercedes Benz,Clase CLA,2019,30261,1.6 CLA 200 SPORT DCT,Automático,343999,Monterrey
Mg,Zs,2023,19481,1.5 ELEGANCE CVT,Automático,316999,Ciudad de México
Ford,Focus,2016,121000,2.0 SE LUXURY AT,Automático,157999,Ciudad de México
Baic,BJ20,2018,35028,1.5 FASHION,Manual,213999,Querétaro
Nissan,Sentra,2018,81191,1.8 ADVANCE AUTO,Automático,182999,Monterrey
Mini,Countryman,2020,13872,1.5 COOPER CHILI AUTO,Automático,414999,Ciudad de México
Audi,A3,2018,33794,1.4 DYNAMIC DCT,Automático,266999,Ciudad de México
Audi,Q7,2016,91496,3.0 TFSI SELECT TIPTRONIC QUATTRO,Automático,381999,Monterrey
Mazda,CX-5,2018,73000,2.5 S GRAND TOURING 2WD AT,Automático,293999,Querétaro
Chevrolet,Suburban,2015,78359,5.3 C LT AT,Automático,458999,Ciudad de México
Mazda,CX-3,2018,81620,2.0 I GRAND TOURING 2WD AT,Automático,261999,Querétaro
Renault,Stepway,2021,20513,1.6 ZEN MT,Manual,211999,Ciudad de México
Fiat,500,2016,118375,1.4 ABARTH MT,Manual,202999,Querétaro
Mini,Countryman,2018,62080,1.5 COOPER PHEV ALL4 AUTO 4WD,Automático,348999,Monterrey
Renault,Oroch,2019,73290,2.0 ZEN,Manual,232999,Ciudad de México
Kia,FORTE,2018,97298,2.0 SX AUTO,Automático,196999,Ciudad de México
Chevrolet,Aveo,2020,76262,1.5 LS A,Manual,175999,Ciudad de México
Kia,Niro,2019,60082,1.6 EX DCT,Automático,318999,Ciudad de México
Seat,Ibiza,2017,43493,1.6 BLITZ MT,Manual,189999,Ciudad de México
Nissan,March,2018,35823,1.6 ADVANCE DUO AUTO,Automático,182999,Ciudad de México
Volkswagen,Polo,2019,84680,1.6 DESIGN  AND SOUND AUTO,Automático,187999,Ciudad de México
Mazda,Mazda 3,2020,50448,2.5 I SPORT AUTO,Automático,293999,Ciudad de México
Toyota,Prius C,2019,18327,1.5 HYBRID AUTO,Automático,265999,Ciudad de México
Mini,Cooper,2020,20853,1.5 COOPER CHILI DCT,Automático,328999,Ciudad de México
Nissan,Kicks,2018,95514,1.6 ADVANCE LTS CVT,Automático,214999,Monterrey
Kia,Sportage,2017,52415,2.0 EX AT,Automático,254999,Querétaro
Hyundai,Tucson,2017,95782,2.0 GLS AT,Automático,230999,Monterrey
Mg,Zs,2022,38618,1.5 STYLE AUTO,Automático,241999,Ciudad de México
Chevrolet,Equinox,2016,106739,2.4 LTZ F AUTO,Automático,213999,Ciudad de México
Nissan,Pathfinder,2014,66243,3.5 EXCLUSIVE AT,Automático,235999,Ciudad de México
Jeep,Compass,2015,85095,2.4 LATITUDE FWD ATX,Automático,189999,Ciudad de México
Lincoln,MKC,2017,76200,2.3 RESERVE AWD AT,Automático,275999,Puebla
Ford,Bronco Sport,2021,17508,1.5 OUTER BANKS AUTO 4WD,Automático,532999,Ciudad de México
Volkswagen,Jetta,2019,61000,1.4 TRENDLINE AUTO,Automático,255999,Ciudad de México
Kia,Rio,2021,68071,1.6 L,Manual,205999,Ciudad de México
Seat,Leon,2018,78456,1.4 STYLE 150HP DCT,Automático,245999,Ciudad de México
Volkswagen,T-Cross,2021,56100,1.6 COMFORTLINE AUTO,Automático,312999,Puebla
Toyota,RAV4,2019,86493,2.5 ADVENTURE AWD AUTO,Automático,405999,Ciudad de México
Honda,Odyssey,2018,113394,3.5 EXL AUTO,Automático,365999,Ciudad de México
Nissan,Versa,2020,77100,1.6 EXCLUSIVE CVT,Automático,228999,Puebla
Nissan,Versa,2020,54227,1.6 SENSE,Manual,216999,Ciudad de México
Mazda,Mazda 3,2015,73876,2.0 SEDAN I TOURING TA,Automático,171999,Ciudad de México
Volkswagen,Jetta,2020,36000,1.4 RLINE AUTO,Automático,340999,Ciudad de México
Volkswagen,Vento,2020,95311,1.6 COMFORTLINE AUTO,Automático,195999,Monterrey
Chevrolet,Onix,2021,36609,1.0 LT D AUTO,Automático,211999,Guadalajara
Nissan,March,2020,31518,1.6 ADVANCE AUTO,Automático,210999,Guadalajara
Suzuki,Swift,2023,6550,1.2 GLS CVT,Automático,266999,Ciudad de México
Volkswagen,Polo,2016,51683,1.6 TIPTRONIC,Automático,169999,Ciudad de México
Nissan,March,2018,21369,1.6 ADVANCE AUTO,Automático,180999,Ciudad de México
Mazda,CX-5,2014,72776,2.0 I SPORT 2WD AT,Automático,215999,Ciudad de México
Hyundai,Creta,2020,65000,1.6 GLS AUTO,Automático,248999,Ciudad de México
Hyundai,Tucson,2017,68420,2.0 LIMITED TECH NAVI AT,Automático,272999,Puebla
Nissan,Pathfinder,2013,98464,3.5 ADVANCE AT,Automático,208999,Ciudad de México
Mazda,CX-5,2016,126195,2.0 I AT 2WD,Automático,205999,Monterrey
Audi,Q3,2015,24000,2.0 LUXURY 170 HP S TRONIC,Automático,279999,Guadalajara
Toyota,Yaris,2019,65291,1.5 CORE,Manual,200999,Ciudad de México
Volkswagen,Jetta,2020,28395,1.4 TRENDLINE AUTO,Automático,282999,Ciudad de México
Kia,FORTE,2020,52500,2.0 EX IVT,Automático,237999,Ciudad de México
Mini,Cooper,2018,73453,1.5 COOPER PEPPER AUTO,Automático,265999,Ciudad de México
Mini,Cooper S,2024,6285,2.0 COOPER S CLASSIC DCT,Automático,521999,Monterrey
Mazda,Mazda 2,2016,51759,1.5 I GRAND TOURING TA,Automático,197999,Ciudad de México
Volkswagen,Polo,2019,70838,1.6 STARTLINE AUTO,Automático,177999,Ciudad de México
Kia,Sportage,2017,91687,2.0 LX AT,Automático,223999,Ciudad de México
Audi,Q5,2013,123265,2.0 TFSI ELITE TIPTRONIC QUATTRO,Automático,217999,Ciudad de México
Baic,X65,2018,89002,2.0 COMFORT AUTO,Automático,189999,Querétaro
Mazda,CX-5,2014,101061,2.5 S GRAND TOURING 2WD AT,Automático,203999,Monterrey
Jeep,Grand Cherokee,2018,86579,3.6 LIMITED AUTO,Automático,404999,Ciudad de México
Ford,Escape,2022,33000,2.5 HEV SE CVT,Automático,415999,Puebla
Volkswagen,T-Cross,2022,30050,1.6 TRENDLINE,Automático,314999,Ciudad de México
Honda,CR-V,2018,35000,1.5 TURBO PLUS AUTO,Automático,356999,Ciudad de México
Kia,Rio,2018,50763,1.6 EX PACK AUTO,Automático,226999,Monterrey
Volkswagen,Vento,2017,70000,1.6 COMFORTLINE STD.,Manual,170999,Ciudad de México
Nissan,Versa,2018,70827,1.6 ADVANCE,Manual,175999,Guadalajara
Nissan,Versa,2019,33436,1.6 ADVANCE,Manual,201999,Ciudad de México
Bmw,Serie 3,2018,54717,1.5 318IA EXECUTIVE AUTO,Automático,267999,Puebla
Mazda,CX-9,2018,49619,2.5 TURBO I GRAND TOURING 4WD AT,Automático,387999,Ciudad de México
Renault,Duster,2018,19000,2.0 DAKAR MT,Manual,203999,Guadalajara
Mercedes Benz,Clase GLA,2017,23000,1.6 GLA 200 CGI SPORT,Automático,350999,Ciudad de México
Chevrolet,Trax,2017,83470,1.8 C PREMIER AT,Automático,219999,Puebla
Mazda,CX-3,2019,70849,2.0 I SPORT 2WD AT,Automático,277999,Guadalajara
Buick,Encore,2018,71695,1.4 AUTO CXL L PREMIUM,Automático,253999,Ciudad de México
Mazda,Mazda 3,2021,75450,2.5 I SPORT AUTO,Automático,278999,Ciudad de México
Mini,Cooper S,2017,116018,2.0 COOPER S SALT,Manual,233999,Ciudad de México
Mazda,Mazda 3,2015,97186,2.0 SEDAN I TOURING TA,Automático,165999,Ciudad de México
Mini,John Cooper Works,2018,56000,2.0 JOHN COOPER WORKS HOT CHILI AT,Automático,359999,Guadalajara
Bmw,X2,2022,46322,2.0 SDRIVE20I M SPORT DCT,Automático,478999,Ciudad de México
Volkswagen,Teramont,2019,92194,3.6 HIGHLINE AUTO,Automático,472999,Ciudad de México
Jeep,Renegade,2017,56000,1.8 LATITUDE AUTO,Automático,244999,Ciudad de México
Chevrolet,Sonic,2017,57000,1.6 AT E LT,Automático,152999,Guadalajara
Kia,FORTE,2020,86845,2.0 GT LINE IVT,Automático,248999,Ciudad de México
Mercedes Benz,Clase CLA,2017,18093,1.6 CLA 200 SPORT AT,Automático,328999,Ciudad de México
Volkswagen,Tiguan,2018,61864,2.0 HIGHLINE DCT,Automático,373999,Ciudad de México
Nissan,Versa,2021,36843,1.6 ADVANCE CVT,Automático,253999,Ciudad de México
Nissan,NP300,2018,77895,2.5 LE TM AC,Manual,332999,Ciudad de México
Volkswagen,up!,2016,78898,1.0 HIGH UP,Manual,128999,Querétaro
Mazda,CX-30,2021,14839,2.5 TURBO S GRAND TOURING POLYMETAL 4WD,Automático,423999,Ciudad de México
Peugeot,2008,2021,66000,1.2 GT LINE AUTO,Automático,314999,Querétaro
Volkswagen,Vento,2014,108000,1.6 VENTO MT,Manual,130999,Monterrey
Bmw,X5,2020,62510,3.0 XDRIVE40I AUTO 4WD,Automático,775999,Ciudad de México
Chevrolet,Traverse,2018,42666,3.6 LT B AUTO,Automático,375999,Cuernavaca
Subaru,Forester,2019,59000,2.5 SPORT CVT 4WD,Automático,343999,Ciudad de México
Hyundai,Tucson,2021,50000,2.0 GLS PREMIUM AUTO,Automático,325999,Guadalajara
Ford,Fiesta,2017,78000,1.6 TITANIUM AT,Automático,169999,Ciudad de México
Bmw,Serie 3,2020,79450,2.0 330IA SPORT LINE PLUS AUTO,Automático,454999,Monterrey
Volkswagen,Vento,2020,40076,1.6 COMFORTLINE AUTO,Automático,212999,Cuernavaca
Chevrolet,Cavalier,2024,11159,1.3 LT B AUTO,Automático,298999,Guadalajara
Volkswagen,Vento,2022,49779,1.6 EDICION ESPECIAL JOIN,Manual,243999,Ciudad de México
Hyundai,Ioniq,2020,35530,1.6 HYBRID GLS PREMIUM DCT,Automático,321999,Ciudad de México
Chevrolet,Onix,2021,52000,1.0 LT D AUTO,Automático,217999,Ciudad de México
Kia,Seltos,2022,19000,1.6 SX AUTO,Automático,380999,Ciudad de México
Renault,Kwid,2020,51220,1.0 ICONIC,Manual,156999,Ciudad de México
Nissan,March,2015,92664,1.6 SENSE AT,Automático,137999,Ciudad de México
Toyota,RAV4,2021,24335,2.5 ADVENTURE AUTO AWD,Automático,477999,Ciudad de México
Mazda,Mazda 3,2020,28650,2.5 I SPORT AUTO,Automático,295999,Ciudad de México
Dodge,Grand Caravan,2018,82310,3.6 SXT,Automático,283999,Ciudad de México
Audi,A3,2016,25798,1.8 TFSI ATTRACTION S TRONIC,Automático,318999,Ciudad de México
Nissan,March,2019,85331,1.6 EXCLUSIVE BITONO AUTO,Automático,179999,Ciudad de México
Mazda,CX-30,2021,58609,2.5 I GRAND TOURING AUTO,Automático,373999,Ciudad de México
Tesla,Model 3,2020,41278,STANDARD RANGE PLUS,Automático,540999,Ciudad de México
Audi,A3,2019,39443,2.0 40 S LINE DCT,Automático,372999,Ciudad de México
Mazda,Mazda 2,2019,93740,1.5 I TOURING SEDAN,Manual,186999,Guadalajara
Seat,Leon,2021,52847,1.4 FR AUTO,Automático,381999,Ciudad de México
Seat,Ibiza,2018,60473,1.6 XCELLENCE AUTO,Automático,240999,Ciudad de México
Nissan,Frontier,2022,39037,2.5 PLATINUM LE AUTO,Automático,519999,Querétaro
Gmc,Terrain,2023,20729,1.5 DENALI D AUTO,Automático,619999,Ciudad de México
Nissan,Kicks,2024,10000,1.2 HEV EPOWER PLATINUM AUTO,Automático,461999,Ciudad de México
Jeep,Wrangler,2017,61734,3.6 UNLIMITED SAHARA 4X4 ATX,Automático,572999,Ciudad de México
Honda,Accord,2018,86000,1.5 SPORT PLUS AUTO,Automático,295999,Querétaro
Kia,FORTE,2022,57724,2.0 GT LINE IVT,Automático,302999,Ciudad de México
Ford,Fusion,2015,75000,2.0 GTDI SE LUXURY AT,Automático,177999,Ciudad de México
Seat,Ibiza,2020,34000,1.6 XCELLENCE AUTO,Automático,277999,Ciudad de México
Mazda,CX-5,2019,59538,2.5 I GRAND TOURING AUTO 2WD,Automático,355999,Ciudad de México
Cupra,Formentor,2022,21000,2.0 TSI MID 190HP DCT,Automático,430999,Guadalajara
Jeep,Grand Cherokee,2013,119397,5.7 LIMITED PREMIUM 4WD HEMI V8 MDS,Automático,212999,Ciudad de México
Audi,SQ5,2020,47732,3.0 SQ5 AUTO 4WD,Automático,673999,Ciudad de México
Volvo,XC40,2021,44868,2.0 T5 RDESIGN AUTO AWD,Automático,513999,Querétaro
Hyundai,Accent,2019,46000,1.6 GL MID AUTO,Automático,216999,Ciudad de México
Seat,Ibiza,2019,29462,1.6 XCELLENCE,Manual,250999,Ciudad de México
Chevrolet,S-10,2024,12280,2.4 CABINA REGULAR B,Manual,361999,Puebla
Kia,FORTE,2022,24398,2.0 GT LINE IVT,Automático,352999,Ciudad de México
Ford,Focus,2016,104000,2.0 SE MT,Manual,153999,Ciudad de México
Infiniti,G,2013,95136,3.7 PREMIUM AT,Automático,158999,Ciudad de México
Mercedes Benz,Clase GLA,2017,84796,1.6 GLA 200 CGI SPORT,Automático,256999,Monterrey
Nissan,X-Trail,2023,15694,2.5 ADVANCE 2 ROW CVT,Automático,466999,Ciudad de México
Bmw,X1,2018,78718,2.0 SDRIVE20IA M SPORT AT,Automático,288999,Ciudad de México
Chevrolet,Spark,2014,121500,1.2 LTZ C MT,Manual,113999,Guadalajara
Suzuki,Swift,2023,18000,1.0 BOOSTERJET AUTO,Automático,297999,Querétaro
Mazda,Mazda 3,2019,29174,2.5 I GRAND TOURING SEDAN AUTO,Automático,310999,Ciudad de México
Ford,Escape,2015,103320,2.0L TITANIUM ECOBOOST I4 AT,Automático,220999,Guadalajara
Chevrolet,Trax,2017,60000,1.8 A LS MT,Manual,186999,Ciudad de México
Renault,Kwid,2019,74382,1.0 ICONIC,Manual,143999,Guadalajara
Jeep,Renegade,2018,40584,1.8 SPORT AUTO,Automático,243999,Ciudad de México
Jeep,Grand Cherokee,2021,28000,3.6 LAREDO AUTO,Automático,517999,Ciudad de México
Chevrolet,Aveo,2020,54780,1.5 LS A,Manual,172999,Puebla
Honda,Fit,2017,97000,1.5 FUN CVT,Automático,172999,Ciudad de México
Kia,Rio,2022,27208,1.6 EX PACK AUTO,Automático,278999,Ciudad de México
Nissan,Versa,2019,54234,1.6 ADVANCE,Manual,196999,Ciudad de México
Kia,FORTE,2022,31304,2.0 EX,Manual,300999,Ciudad de México
Mercedes Benz,Clase CLA,2020,42090,1.3 CLA 200 PROGRESSIVE DCT,Automático,559999,Ciudad de México
Mazda,Mazda 3,2015,63555,2.0 SEDAN I TOURING TA,Automático,176999,Ciudad de México
Mercedes Benz,Clase A,2016,126589,1.6 A 180 CGI 7GDCT,Automático,193999,Ciudad de México
Hyundai,Grand i10,2019,66274,1.2 GLS,Manual,191999,Ciudad de México
Toyota,RAV4,2019,79219,2.5 XLE AWD AT,Automático,366999,Ciudad de México
Renault,Koleos,2018,110000,2.5 ICONIC CVT,Automático,241999,Guadalajara
Mercedes Benz,Clase E,2014,64248,3.0 400 CGI,Automático,287999,Ciudad de México
Ford,Fusion,2017,80555,2.0 GTDI TITANIUM PLUS AT,Automático,253999,Ciudad de México
Kia,Soul,2020,25107,1.6 LX AUTO,Automático,245999,Ciudad de México
Volkswagen,Passat,2017,88731,2,Automático,235999,Querétaro
Chevrolet,Beat,2020,71367,1.2 LTZ C,Manual,179999,Querétaro
Kia,Sedona,2019,95242,3.3 SXL AUTO,Automático,322999,Ciudad de México
Cupra,Formentor,2022,34221,2.0 TSI MID 190HP DCT,Automático,455999,Ciudad de México
Seat,Ibiza,2018,62000,1.6 XCELLENCE,Manual,228999,Puebla
Audi,SQ5,2019,96000,3.0 SQ5 AUTO 4WD,Automático,538999,Ciudad de México
Nissan,Versa,2016,113418,1.6 EXCLUSIVE TA AC,Automático,162999,Querétaro
Hyundai,Tucson,2016,87000,2.0 LIMITED AT,Automático,246999,Ciudad de México
Baic,BJ20,2020,86000,1.5 TOP AUTO,Automático,188999,Ciudad de México
Toyota,RAV4,2020,37000,2.5 ADVENTURE 4WD AUTO,Automático,443999,Guadalajara
Nissan,Sentra,2017,68665,1.8 SENSE MT,Manual,184999,Ciudad de México
Volvo,XC60,2013,67709,2.0 EVOLUTION AT,Automático,177999,Ciudad de México
Nissan,Tiida,2018,100471,1.8 SENSE AUTO,Automático,160999,Ciudad de México
Volkswagen,Polo,2020,66823,1.6 STARTLINE AUTO,Automático,203999,Guadalajara
Mazda,Mazda 3,2017,91281,2.5 SEDÁN S TA,Automático,215999,Guadalajara
Mini,Cooper,2016,107781,1.5 COOPER CHILI AT,Automático,223999,Querétaro
Volvo,S60,2022,37841,2.0 B4 MHEV MOMENTUM AUTO,Automático,425999,Ciudad de México
Chevrolet,Sonic,2015,129500,1.6 AT F LTZ,Automático,122999,Ciudad de México
Ford,Figo,2017,101008,1.5 FIGO TITANIUM AT,Automático,144999,Ciudad de México
Renault,Duster,2015,103673,2.0 DYNAMIQUE PACK AT,Automático,155999,Ciudad de México
Bmw,Serie 3,2012,102000,2.5 325IA EDITION EXCLUSIVE NAVI AT,Automático,150999,Monterrey
Dodge,Vision,2016,69652,1.6 DUALOGIC,Automático,112999,Ciudad de México
Ford,Escape,2014,100278,2.5 S PLUS I4 AT,Automático,186999,Ciudad de México
Kia,Seltos,2021,38187,1.6 SX AUTO,Automático,345999,Guadalajara
Hyundai,Grand i10,2023,11000,1.2 GL MID,Manual,225999,Ciudad de México
Mini,Clubman,2021,38610,2.0 JOHN COOPER WORKS HOT CHILI AUTO 4WD,Automático,488999,Ciudad de México
Kia,Rio,2022,34700,1.6 EX AUTO,Automático,277999,Puebla
Kia,Rio,2022,34700,1.6 EX AUTO,Automático,277999,Puebla
Honda,Civic,2015,101800,1.8 EX MT 4DRS,Manual,169999,Monterrey
Kia,Sportage,2017,73167,2.4 SXL AWD AT,Automático,284999,Ciudad de México
Mercedes Benz,Clase EQA,2023,10026,BEV 67KWH EQA 300 4MATIC AUTO,Automático,867999,Ciudad de México
Honda,City,2010,75174,1.5 LX AT,Automático,131999,Ciudad de México
Chevrolet,Sonic,2017,58518,1.6 AT E LT,Automático,154999,Ciudad de México
Audi,A3,2016,91823,1.4 TFSI ATTRACTION S TRONIC,Automático,246999,Querétaro
Suzuki,Swift,2023,28000,1.4 BOOSTERJET SPORT AUTO,Automático,310999,Ciudad de México
Suzuki,Ignis,2021,55165,1.2 GLX CVT,Automático,221999,Ciudad de México
Nissan,X-Trail,2015,87000,2.5 EXCLUSIVE 2 ROW CVT,Automático,233999,Ciudad de México
Volvo,XC40,2022,27081,1.5 T5 PHEV RDESIGN RECHARGE DCT,Automático,701999,Ciudad de México
Mini,Cooper S,2016,83078,2.0 COOPER S SALT,Manual,243999,Guadalajara
Mazda,MX-5,2017,27400,2.0 I GRAND TOURING AT,Automático,353999,Ciudad de México
Nissan,X-Trail,2016,83728,2.5 EXCLUSIVE 3 ROW AUTO 4WD,Automático,253999,Ciudad de México
Honda,HR-V,2017,71100,1.8 UNIQ CVT,Automático,242999,Ciudad de México
Volkswagen,Jetta,2017,66425,2.5 COMFORTLINE TIP. BOLSAS AIRE DEL.,Automático,212999,Ciudad de México
Nissan,Versa,2015,128347,1.6 EXCLUSIVE TA AC,Automático,152999,Ciudad de México
Ford,Escape,2014,82000,2.5 S I4 AT,Automático,177999,Ciudad de México
Honda,Civic,2017,73196,2.0 EX CVT,Automático,248999,Ciudad de México
Mg,MG5,2022,70000,1.5 ELEGANCE,Manual,196999,Puebla
Jeep,Wrangler,2019,39012,3.6 UNLIMITED SAHARA AUTO 4WD,Automático,787999,Ciudad de México
Mazda,Mazda 3,2014,101051,2.5 HATCHBACK S TA,Automático,168999,Ciudad de México
Volkswagen,Vento,2015,116729,1.6 VENTO MT,Manual,137999,Ciudad de México
Chevrolet,Beat,2019,47877,1.2 LTZ C,Manual,161999,Cuernavaca
Volkswagen,Virtus,2022,37000,1.6 COMFORTLINE AUTO,Automático,301999,Puebla
Mercedes Benz,Clase E,2014,36481,2.0 E 200 CGI EXCLUSIVE AT,Automático,289999,Ciudad de México
Nissan,X-Trail,2015,92292,2.5 SENSE 2 ROW CVT,Automático,211999,Guadalajara
Lexus,NX,2024,15813,2.5 HEV 350H PREMIUM AUTO AWD,Automático,937999,Ciudad de México
Honda,Pilot,2018,62299,3.5 TOURING 4WD AUTO,Automático,343999,Monterrey
Kia,FORTE,2022,23357,2.0 L IVT,Automático,266999,Ciudad de México
Jeep,Wrangler,2022,18000,3.6 MHEV UNLIMITED SAHARA AUTO 4WD,Automático,906999,Ciudad de México
Kia,Sportage,2017,64538,2.4 SXL AT,Automático,274999,Ciudad de México
Audi,e-tron,2020,29350,55 ADVANCED 4WD,Automático,735999,Puebla
Nissan,Versa,2017,110258,1.6 DRIVE,Manual,137999,Querétaro
Chevrolet,Aveo,2022,50890,1.5 LS A,Manual,177999,Monterrey
Mazda,Mazda 3,2021,40776,2.5 I SPORT AUTO,Automático,317999,Ciudad de México
Mazda,Mazda 3,2020,40436,2.5 I GRAND TOURING AUTO,Automático,305999,Ciudad de México
Audi,A1,2016,41009,1.4 TFSI COOL S TRONIC,Automático,238999,Ciudad de México
Audi,Q2,2018,37252,2.0 S LINE DCT 4WD,Automático,405999,Ciudad de México
Mini,Cooper,2023,14342,BEV 33KWH COOPER SE CLASSIC AUTO,Automático,520999,Guadalajara
Jeep,Wrangler,2022,28000,3.6 MHEV UNLIMITED SAHARA AUTO 4WD,Automático,820999,Guadalajara
Gmc,Sierra,2018,45749,6.2 DENALI E AUTO 4WD,Automático,634999,Guadalajara
Mercedes Benz,Clase GLA,2018,91190,2.0 GLA 250 SPORT DCT,Automático,344999,Ciudad de México
Honda,Civic,2017,65505,1.5 TURBO,Automático,274999,Ciudad de México
Nissan,March,2013,105550,1.6 ADVANCE AT,Automático,116999,Puebla
Jeep,Wrangler,2017,93551,3.6 UNLIMITED SAHARA 4X4 ATX,Automático,498999,Ciudad de México
Mazda,Mazda 3,2020,61631,2.5 I SPORT AUTO,Automático,268999,Ciudad de México
Nissan,Sentra,2015,72384,1.8 SENSE CVT,Automático,160999,Ciudad de México
Ford,Fiesta,2014,100800,1.6 S MT,Manual,123999,Ciudad de México
Ford,Ranger,2019,61075,2.5 XLT CREW CAB 4WD HR,Manual,367999,Ciudad de México
Bmw,X2,2020,82862,2.0 M35IA,Automático,487999,Ciudad de México
Ford,Figo,2016,127116,1.5 FIGO IMPULSE AA MT,Manual,104999,Monterrey
Chevrolet,Aveo,2020,42467,1.5 LS B AUTO,Automático,180999,Ciudad de México
Cadillac,Escalade,2016,91658,6.2 ESV SUV P PLATINUM AT 4WD,Automático,601999,Ciudad de México
Honda,City,2013,87863,1.5 EX MT,Manual,141999,Ciudad de México
Mini,Cooper,2018,39019,1.5 COOPER SALT AUTO,Automático,267999,Ciudad de México
Volkswagen,Vento,2018,94000,1.6 STARTLINE STD.,Manual,173999,Querétaro
Hyundai,Tucson,2017,77333,2.0 LIMITED TECH NAVI AT,Automático,291999,Querétaro
Volkswagen,Golf,2017,94000,1.4 COMFORTLINE DSG,Automático,247999,Ciudad de México
Nissan,Versa,2024,4000,1.6 EXCLUSIVE CVT,Automático,350999,Ciudad de México
Mg,Zs,2022,22200,1.5 EXCITE AUTO,Automático,290999,Ciudad de México
Mg,MG5,2023,32514,1.5 ELEGANCE CVT,Automático,246999,Ciudad de México
Chevrolet,Spark,2018,50168,1.4 LT B,Manual,166999,Guadalajara
Kia,Soul,2018,48460,2.0 EX AUTO,Automático,252999,Ciudad de México
Kia,Rio,2021,56200,1.6 EX AUTO,Automático,255999,Ciudad de México
Chevrolet,Trax,2019,86770,1.8 B LT AUTO,Automático,212999,Ciudad de México
Chevrolet,Camaro,2016,73000,3.6 RS B AT,Automático,388999,Monterrey
Fiat,500,2016,95000,1.4 SPORTING MT,Manual,185999,Querétaro
Volkswagen,Virtus,2021,28000,1.6 AUTO,Automático,263999,Ciudad de México
Ram,Ram 2500,2017,47700,5.7 HEMI SPORT CREW CAB 4X4 V8 6AT,Automático,454999,Ciudad de México
Volkswagen,Taos,2023,15000,1.4 TSI TRENDLINE AUTO,Automático,446999,Cuernavaca
Renault,Duster,2021,21500,1.6 INTENS,Manual,238999,Ciudad de México
Ford,Explorer,2016,83000,3.5 XLT V6 PIEL 4X2 AT,Automático,281999,Ciudad de México
Seat,Ibiza,2020,50291,1.6 REFERENCE,Manual,224999,Ciudad de México
Seat,Ibiza,2021,53585,1.6 XCELLENCE,Manual,259999,Ciudad de México
Gmc,Terrain,2015,62772,3.6  DENALI E AT,Automático,220999,Ciudad de México
Volkswagen,Jetta,2016,49000,2.0 TIP,Automático,211999,Ciudad de México
Honda,HR-V,2018,63549,1.8 UNIQ CVT,Automático,267999,Ciudad de México
Suzuki,Swift,2015,98692,1.4 GLX AT,Automático,180999,Monterrey
Mazda,Mazda 3,2020,34792,2.5 I GRAND TOURING AUTO,Automático,318999,Ciudad de México
Nissan,Sentra,2021,52500,2.0 ADVANCE CVT,Automático,274999,Ciudad de México
Audi,A1,2020,55000,1.5 SB 35 TFSI EGO DCT,Automático,349999,Puebla
Volkswagen,Passat,2010,104291,2.0 CC TURBO FSI DSG,Automático,151999,Ciudad de México
Toyota,Prius C,2018,59740,1.5 HYBRID AUTO,Automático,250999,Ciudad de México
Smart,Forfour,2018,34000,0.9 PASSION TURBO,Automático,223999,Ciudad de México
Mg,Hs,2023,12380,2.0 TROPHY DCT AWD,Automático,459999,Ciudad de México
