marca,modelo,año,kilometraje,version,transmision,precio (MXN),ubicacion
Kia,Sportage,2018,43431,2.0 EX PACK AUTO,Automático,304999,Ciudad de México
Mazda,CX-5,2016,72437,2.5 S GRAND TOURING 2WD AT,Automático,253999,Ciudad de México
Kia,Sorento,2019,44560,2.4 LX AUTO,Automático,305999,Guadalajara
Jac,SEI6 PRO,2023,8772,1.5 LIMITED DCT,Automático,407999,Guadalajara
Mazda,CX-5,2018,71800,2.0 I SPORT AT 2WD,Automático,295999,Ciudad de México
Chevrolet,Aveo,2020,49181,1.5 LT C,Manual,191999,Ciudad de México
Chevrolet,Cavalier,2019,50069,1.5 PREMIER C AUTO,Automático,210999,Ciudad de México
Nissan,X-Trail,2018,74435,2.5 SENSE 2 ROW AUTO,Automático,259999,Ciudad de México
Volkswagen,Tiguan,2018,51262,2.0 HIGHLINE DCT,Automático,383999,Ciudad de México
Mazda,CX-5,2021,20000,2.5 SIGNATURE AUTO,Automático,465999,Ciudad de México
Nissan,Kicks,2018,56081,1.6 ADVANCE LTS CVT,Automático,246999,Monterrey
Nissan,March,2018,81770,1.6 SENSE,Manual,156999,Ciudad de México
Mazda,CX-5,2017,54249,2.5 S GRAND TOURING 2WD AT,Automático,306999,Ciudad de México
Mini,Cooper S,2018,39876,2.0 COOPER S HOT CHILI AUTO,Automático,356999,Ciudad de México
Buick,Envision,2017,114782,2.0 CXL N 4WD AUTO,Automático,244999,Ciudad de México
Volkswagen,Tiguan,2022,26263,1.4 COMFORTLINE DCT,Automático,478999,Ciudad de México
Volkswagen,Tiguan,2022,32640,1.4 RLINE DCT,Automático,524999,Puebla
Kia,Rio,2020,40790,1.6 L AUTO,Automático,210999,Ciudad de México
Mazda,Mazda 2,2019,99827,1.5 I GRAND TOURING SEDAN AUTO,Automático,220999,Monterrey
Mazda,CX-5,2021,16763,2.5 S GRAND TOURING AUTO,Automático,426999,Ciudad de México
Bmw,X3,2019,68642,2.0 XDRIVE30IA X LINE AUTO 4WD,Automático,524999,Ciudad de México
Chevrolet,Suburban,2016,93379,5.3 D LTZ AT 4WD,Automático,556999,Ciudad de México
Ford,Escape,2018,69000,2.5 S AUTO,Automático,243999,Ciudad de México
Mg,Hs,2022,19441,2.0 TROPHY DCT AWD,Automático,372999,Ciudad de México
Mg,RX8,2022,31000,2.0 ELEGANCE AUTO 4WD,Automático,443999,Cuernavaca
Mercedes Benz,Clase GLA,2019,43562,2.0 GLA 250 SPORT DCT,Automático,423999,Ciudad de México
Bmw,X2,2020,46000,1.5 SDRIVE18IA EXECUTIVE DCT,Automático,418999,Ciudad de México
Volvo,XC60,2020,84628,2.0 T6 RDESIGN AUTO 4WD,Automático,511999,Guadalajara
Kia,Rio,2019,51280,1.6 EX AUTO,Automático,231999,Ciudad de México
Chevrolet,Cruze,2017,71718,1.4 LS B TURBO AT,Automático,190999,Ciudad de México
Honda,City,2021,20596,1.5 PRIME CVT,Automático,297999,Ciudad de México
Kia,FORTE,2021,49021,2.0 L IVT,Automático,243999,Ciudad de México
Kia,FORTE,2018,50557,2.0 SX AUTO,Automático,226999,Ciudad de México
Seat,Ibiza,2020,57141,1.6 XCELLENCE AUTO,Automático,267999,Ciudad de México
Lincoln,MKC,2017,51890,2.3 RESERVE AWD AT,Automático,305999,Ciudad de México
Mazda,CX-5,2019,43652,2.5 I SPORT AUTO 2WD,Automático,336999,Ciudad de México
Volkswagen,Tiguan,2017,74154,2.0 PAQUETE SPORT  AND STYLE,Automático,272999,Guadalajara
Honda,HR-V,2019,22631,1.8 PRIME CVT,Automático,324999,Ciudad de México
Volkswagen,Tiguan,2022,32602,1.4 RLINE DCT,Automático,523999,Ciudad de México
Hyundai,Tucson,2019,58836,2.4 LIMITED TECH AUTO,Automático,327999,Ciudad de México
